StockCode,StockName_KR,MarketCap,ClosingPrice,DailyVolume,VolumeSpike,TrendArrow,MA20,MA60,RSI(14),MACD,MACD_Signal,Volatility(ATR),OBV,PearlScore,PearlScore_Normalized,PearlScore_Stars,PearlScore_Status
089230,THE E&M,,1344.0,106318,0.2,↑,1539.5,2417.7,43.89,-222.4,-236.61,180.79,121421809,0.19,9.5,★☆☆☆☆,OK
170790,파이오링크,,8140.0,28965,2.0,↑,7709.0,8769.17,59.89,-165.78,-252.11,369.29,26245127,2.15,100.0,★★★★★,OK
219550,디와이디,,1335.0,62278,0.76,↑,1103.1,1374.32,75.99,3.83,-46.17,127.36,120960542,0.47,23.5,★★☆☆☆,OK
263600,덕우전자,,3240.0,18764,0.46,↑,3262.5,4410.5,39.8,-239.96,-303.95,192.86,178933512,0.41,20.5,★☆☆☆☆,OK
096610,알에프세미,,2965.0,0,,→,2965.0,2965.0,,-0.0,-0.0,2965.0,214908329,,,☆☆☆☆☆,Data Missing
260930,씨티케이,,2665.0,20701,0.57,→,2660.0,2983.17,46.54,-42.72,-59.67,182.86,128116837,0.7,35.0,★★☆☆☆,OK
205470,휴마시스,,2085.0,32920,0.8,→,2211.25,3006.83,32.72,-181.41,-213.99,140.29,341174102,0.59,29.5,★★☆☆☆,OK
037440,희림,,3695.0,112990,0.11,↑,3803.75,4826.5,44.5,-241.59,-280.98,280.0,753760191,0.11,5.5,★☆☆☆☆,OK
950200,소마젠,,2665.0,7873,0.1,↓,2805.0,2947.92,33.16,-56.43,-49.49,184.64,211476869,0.06,3.0,★☆☆☆☆,OK
033230,인성정보,,1011.0,122131,0.68,↓,1030.95,1352.92,46.88,-61.12,-77.97,58.57,2048566621,0.72,36.0,★★☆☆☆,OK
391710,코닉오토메이션,,1198.0,116452,0.66,↑,1150.7,1607.13,49.82,-92.04,-127.7,110.29,440803941,0.84,42.0,★★★☆☆,OK
081180,쎄크,,5750.0,45792,0.72,↓,5678.5,8307.0,45.39,-460.25,-652.93,582.14,101674446,0.83,41.5,★★★☆☆,OK
419080,엔젯,,4690.0,30062,0.56,↑,3956.0,4544.25,58.05,55.83,-90.9,443.21,43004372,0.69,34.5,★★☆☆☆,OK
027830,대성창투,,945.0,31190,0.27,↓,967.7,1173.7,44.27,-41.73,-51.65,46.43,1983814951,0.27,13.5,★☆☆☆☆,OK
064800,포니링크,,1983.0,15988,0.57,↓,2111.4,2788.97,34.88,-150.9,-168.72,120.43,242998060,0.45,22.5,★★☆☆☆,OK
071670,에이테크솔루션,,5060.0,12896,0.21,↑,5309.75,6717.08,44.32,-396.18,-448.71,331.79,240840667,0.21,10.5,★☆☆☆☆,OK
064240,홈캐스트,,1457.0,26554,0.41,↓,1507.9,1729.38,25.69,-59.64,-65.42,81.0,435081903,0.24,12.0,★☆☆☆☆,OK
393970,대진첨단소재,,2825.0,0,,→,2825.0,2825.0,,-0.47,-0.69,2825.0,86275113,,,☆☆☆☆☆,Data Missing
053270,구영테크,,1841.0,63182,0.73,↓,1857.5,2019.03,49.45,-16.07,-28.31,72.64,1087907598,0.83,41.5,★★★☆☆,OK
191420,테고사이언스,,6220.0,2679,0.28,↑,6637.0,8703.83,28.09,-502.68,-571.52,461.43,31582759,0.18,9.0,★☆☆☆☆,OK
317830,에스피시스템스,,4680.0,26397,0.54,↑,4771.25,7111.17,43.64,-490.42,-629.86,445.0,315264103,0.52,26.0,★★☆☆☆,OK
192250,케이사인,,7100.0,60457,0.75,→,7183.0,9218.5,45.22,-359.31,-475.41,568.57,297772795,0.75,37.5,★★☆☆☆,OK
072990,에이치시티,,3450.0,25028,1.04,↑,3308.25,3779.33,59.09,-49.95,-97.63,207.5,56597432,1.12,56.0,★★★☆☆,OK
145170,노브랜드,,2915.0,67869,1.78,↓,3026.5,3786.08,37.78,-161.36,-192.68,178.21,58978449,1.52,76.0,★★★★☆,OK
